ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US25220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hammond, LA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US25220
3100000US25260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hanford-Corcoran, CA Metro Area",951,1519,123,122,361,434,255,311,454,745,2244,8697,2515,9907,3598,18604,2196,5502,2085,6209,2918,11711,3822,31182,4101,111242,650,143943,3100000US25260
3100000US25420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrisburg-Carlisle, PA Metro Area",1457,2225,343,533,1409,5017,397,1176,1419,6193,2294,11771,1667,7241,2592,19012,3279,30151,3476,18493,4319,48644,5048,74382,5422,442306,809,518913,3100000US25420
3100000US25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrisonburg, VA Metro Area",528,1438,1292,2841,539,929,281,360,703,1289,1340,6133,684,2468,1525,8601,2576,11743,587,1538,2598,13281,3271,26012,3375,84584,502,112034,3100000US25500
3100000US25540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford-West Hartford-East Hartford, CT Metro Area",1784,5574,676,530,1117,2630,606,1092,1302,3722,3204,22693,2384,14284,3815,36977,5828,71098,4561,40658,6849,111756,8012,152985,8076,1016784,1690,1175343,3100000US25540
3100000US25620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hattiesburg, MS Metro Area",519,915,1702,2455,1147,2274,948,1964,1629,4238,1437,3722,1070,1862,1684,5584,1715,6102,2133,9926,2857,16028,3779,28305,3729,104882,2277,134102,3100000US25620
3100000US25740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Helena, MT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US25740
3100000US25860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hickory-Lenoir-Morganton, NC Metro Area",605,1175,427,975,653,1589,1184,2257,1398,3846,2091,5581,1291,4250,2550,9831,4195,21655,3011,14418,5490,36073,5850,50725,6016,303001,1210,354901,3100000US25860
3100000US25900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilo, HI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US25900
3100000US25940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilton Head Island-Beaufort, SC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US25940
