ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson City, NV Metro Area",171,114,364,432,807,1007,534,683,890,1690,596,1369,648,1438,740,2807,309,0,2411,6558,2411,6558,2549,11487,2523,42989,492,54590,310M100US16180
310M100US16220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casper, WY Metro Area",49,31,889,1308,434,891,394,667,673,1558,637,939,584,1208,880,2147,1276,1554,3189,11399,3367,12953,3412,17966,3389,56680,341,74677,310M100US16220
310M100US16300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cedar Rapids, IA Metro Area",371,685,1031,2271,730,1011,478,540,850,1551,1531,3920,1023,2665,1914,6585,2502,12996,3010,15406,4050,28402,4758,38809,4924,215412,675,254906,310M100US16300
310M100US16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centralia, WA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US16500
310M100US16540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambersburg, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US16540
310M100US16580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Champaign-Urbana, IL Metro Area",1466,5347,303,453,379,779,739,716,827,1495,2392,10082,1761,7272,3290,17354,2643,8788,3563,27227,4278,36015,4267,55317,4622,171423,2655,232087,310M100US16580
310M100US16620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charleston, WV Metro Area",311,286,1224,2346,823,1019,237,201,879,1220,1098,3108,817,1741,1435,4849,2951,14182,2381,6558,3687,20740,3909,29155,3989,272143,2149,301584,310M100US16620
310M100US16700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charleston-North Charleston-Summerville, SC Metro Area",1417,2814,1363,2227,854,2206,1460,2274,1757,4480,4348,21892,2615,11585,5278,33477,5551,42073,5267,41137,7815,83210,9703,123394,9852,533209,1397,659417,310M100US16700
310M100US16740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",3204,11215,1284,2584,2803,11511,1632,5368,2980,16879,4093,33196,3851,26295,6191,59491,7018,60981,11037,152846,12846,213827,14903,292781,15485,1437872,2338,1741868,310M100US16740
310M100US16820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlottesville, VA Metro Area",479,1045,899,1389,1683,1809,335,308,1768,2117,2275,7341,1867,5495,2396,12836,5662,13847,2411,6261,4636,20108,5349,36450,5310,160764,4177,198259,310M100US16820
310M100US16860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chattanooga, TN-GA Metro Area",606,1057,1660,3266,1310,2633,697,1113,1510,3746,2117,7601,1360,5447,2711,13048,5995,37012,4649,26468,7559,63480,8700,83540,9172,439201,4177,523798,310M100US16860
310M100US16940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheyenne, WY Metro Area",595,612,625,767,725,687,503,812,845,1499,819,1158,619,1349,1042,2507,1830,2956,2600,10183,2887,13139,2771,17912,2901,72128,550,90652,310M100US16940
310M100US16980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4792,50264,1426,5020,1517,6408,2461,9312,3137,15720,4612,58839,6972,78873,8893,137712,19532,487297,18163,488642,25851,975939,29175,1134391,31098,8170469,5361,9355124,310M100US16980
310M100US17020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chico, CA Metro Area",510,676,189,158,303,303,531,401,646,704,2967,6811,1103,3174,3087,9985,3635,15999,4075,23671,5055,39670,5311,50517,5316,166884,616,218077,310M100US17020
310M100US17060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chillicothe, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US17060
310M100US17140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cincinnati-Middletown, OH-KY-IN Metro Area",1584,7079,1076,3009,1185,3537,2097,4134,2461,7671,3469,30297,3820,19649,5334,49946,9954,170458,7933,72106,11174,242564,12856,303190,13702,1795629,3201,2105898,310M100US17140
310M100US17220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksburg, WV Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US17220
310M100US17300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksville, TN-KY Metro Area",2439,7151,1412,2980,571,950,643,984,930,1934,2538,9481,3321,10889,4034,20370,4067,15867,3138,15669,4535,31536,5475,56820,6406,206512,2319,270483,310M100US17300
310M100US17340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clearlake, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US17340
310M100US17420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland, TN Metro Area",140,113,550,489,568,363,672,437,851,800,950,1706,881,1747,1333,3453,1888,5102,3520,10081,3701,15183,3842,19925,4578,93981,2633,114019,310M100US17420
310M100US17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland-Elyria-Mentor, OH Metro Area",1950,6619,445,598,2074,5100,962,1791,2321,6891,3928,23731,2889,16329,5209,40060,10089,141980,7459,85234,12139,227214,13806,274763,13678,1774773,2026,2056155,310M100US17460
310M100US17620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coamo, PR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US17620
