ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008EA,B07201_008MA,B07201_007EA,B07201_007MA,B07201_006MA,B07201_006EA,B07201_005EA,B07201_005MA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002EA,B07201_002MA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US11180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ames, IA Metro Area",944,1632,886,1965,514,950,351,575,644,1525,1439,4137,807,2556,1747,6693,1073,2296,2281,11457,2614,13753,3088,23936,3161,63294,332,88862,310M100US11180
310M100US11260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage, AK Metro Area",713,1798,2253,5350,1138,1690,787,1403,1339,3093,2750,8055,1416,4813,3085,12868,2176,8819,5949,40357,6771,49176,7635,70487,7730,309525,1026,381810,310M100US11260
310M100US11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson, IN Metro Area",333,375,70,56,710,1167,198,318,740,1485,981,2799,958,2385,1377,5184,1493,5075,1694,6957,2128,12032,2644,18757,2775,110939,450,130071,310M100US11300
310M100US11340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson, SC Metro Area",1319,1212,473,555,585,721,128,123,608,844,2242,6162,1168,2165,2672,8327,3551,13535,1359,3898,3590,17433,4596,27159,4717,158689,589,187060,310M100US11340
310M100US11460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ann Arbor, MI Metro Area",1428,5656,710,1037,976,2025,855,1328,1272,3353,3339,19726,1711,11682,4046,31408,3383,19739,2827,21384,3993,41123,5337,76921,5292,262109,769,344686,310M100US11460
310M100US11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anniston-Oxford, AL Metro Area",105,71,467,741,302,382,426,261,535,643,2142,3710,768,1323,2241,5033,2495,8306,902,2350,2719,10656,3589,17073,3535,98878,753,116022,310M100US11500
310M100US11540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appleton, WI Metro Area",756,987,336,459,551,695,318,387,641,1082,1616,4265,1324,3049,1897,7314,2115,7183,1697,5431,2448,12614,2988,21469,3256,202172,742,224628,310M100US11540
310M100US11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asheville, NC Metro Area",424,721,1507,3058,1608,3161,712,1476,1796,4637,2210,10553,1282,4846,2866,15399,5630,30198,1802,6711,6125,36909,6987,60003,7377,362773,3086,423497,310M100US11700
310M100US11780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashtabula, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US11780
310M100US11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athens, TX Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US11980
310M100US12020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athens-Clarke County, GA Metro Area",499,817,1035,1260,538,693,626,899,820,1592,1260,6386,846,3404,1674,9790,950,2696,2300,12769,2449,15465,3372,28107,3566,162213,794,191137,310M100US12020
310M100US12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atlanta-Sandy Springs-Marietta, GA Metro Area",3978,25088,4369,14941,4123,14955,2458,7910,4674,22865,8884,68897,8853,76403,13022,145300,28714,569950,11142,116622,30814,686572,31998,869678,32772,4405644,5677,5300410,310M100US12060
310M100US12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atlantic City-Hammonton, NJ Metro Area",2171,3931,198,0,61,35,198,0,61,35,1330,6846,626,2118,1480,8964,3996,17684,2178,5593,4043,23277,4279,32276,4458,236120,645,272327,310M100US12100
310M100US12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US12180
310M100US12220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn-Opelika, AL Metro Area",837,1405,702,1075,729,1130,1110,1481,1331,2611,2616,7873,1701,5351,2994,13224,1291,1858,3500,14719,3898,16577,4304,33487,4542,106583,958,141475,310M100US12220
310M100US12260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area",1098,1965,1076,2486,340,654,1551,2405,1568,3059,4607,18631,2130,8870,4735,27501,5771,35737,4475,24463,7458,60200,8161,93246,8312,459136,2631,554347,310M100US12260
310M100US12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Waterville, ME Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US12300
310M100US12420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austin-Round Rock-San Marcos, TX Metro Area",4011,12213,1924,6809,2740,4177,1714,5493,3299,9670,6218,43117,6766,51489,8221,94606,12159,71217,13515,182691,19268,253908,19168,364993,19793,1384572,2719,1761778,310M100US12420
310M100US12540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bakersfield-Delano, CA Metro Area",1173,2788,349,417,315,446,668,1259,712,1705,3472,15481,2886,17855,4355,33336,8200,56392,9004,68473,12454,124865,12462,160323,12489,675383,1727,838494,310M100US12540
310M100US12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baltimore-Towson, MD Metro Area",2705,13957,1204,3108,1577,3512,1195,2650,1786,6162,5806,47328,3104,27041,6738,74369,10529,148821,8097,86660,12898,235481,14431,319120,14479,2361920,3346,2694997,310M100US12580
310M100US12620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bangor, ME Metro Area",252,406,2053,5624,922,1057,318,273,981,1330,960,2613,1035,2322,1330,4935,2170,9687,1083,3181,2552,12868,3069,24757,3125,126905,445,152068,310M100US12620
310M100US12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable Town, MA Metro Area",663,957,30,13,493,414,186,110,518,524,1346,4384,988,2118,1721,6502,2844,9244,1589,3215,3156,12459,3562,19498,3495,194224,665,214679,310M100US12700
310M100US12940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baton Rouge, LA Metro Area",1283,1738,829,2168,1640,3976,449,703,1692,4679,3091,9827,3213,11942,4638,21769,6397,44618,5365,34022,8567,78640,9564,107256,9602,689027,1648,798021,310M100US12940
