NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Glens Falls, NY",259.0,303.0,550.0,130.0,680.0,3056.0,1479.0,4535.0,3836.0,1826.0,5662.0,11180.0,113714.0,125153.0
"Glenwood Springs, CO Micro Area",,,,,,,,,,,,,,
"Goldsboro, NC",380.0,1444.0,683.0,0.0,683.0,5181.0,1309.0,6490.0,5821.0,2751.0,8572.0,17189.0,97704.0,115273.0
"Granbury, TX Micro Area",,,,,,,,,,,,,,
"Grand Forks, ND-MN",1362.0,2519.0,861.0,945.0,1806.0,4085.0,2314.0,6399.0,2040.0,5375.0,7415.0,18139.0,82147.0,101648.0
"Grand Island, NE",232.0,1106.0,653.0,682.0,1335.0,914.0,1562.0,2476.0,1233.0,2085.0,3318.0,8235.0,66919.0,75386.0
"Grand Junction, CO",444.0,1146.0,719.0,1895.0,2614.0,3832.0,5357.0,9189.0,6508.0,10744.0,17252.0,30201.0,127538.0,158183.0
"Grand Rapids-Kentwood, MI",2252.0,4630.0,3445.0,2118.0,5563.0,21170.0,13469.0,34639.0,58988.0,40656.0,99644.0,144476.0,937782.0,1084510.0
"Grants Pass, OR",38.0,278.0,956.0,0.0,956.0,2602.0,1753.0,4355.0,3920.0,4514.0,8434.0,14023.0,72770.0,86831.0
"Great Falls, MT",259.0,2153.0,481.0,111.0,592.0,2274.0,934.0,3208.0,703.0,5872.0,6575.0,12528.0,71109.0,83896.0
"Greeley, CO",1317.0,903.0,1678.0,1484.0,3162.0,15638.0,13979.0,29617.0,7718.0,7766.0,15484.0,49166.0,294812.0,345295.0
"Green Bay, WI",1520.0,1974.0,1576.0,949.0,2525.0,3914.0,5881.0,9795.0,10353.0,10757.0,21110.0,35404.0,289874.0,326798.0
"Greeneville, TN Micro Area",,,,,,,,,,,,,,
"Greensboro-High Point, NC",3002.0,2054.0,1320.0,1045.0,2365.0,20880.0,17970.0,38850.0,23793.0,31419.0,55212.0,98481.0,673258.0,774741.0
"Greenville, NC",786.0,899.0,1174.0,1637.0,2811.0,6247.0,4790.0,11037.0,3599.0,8267.0,11866.0,26613.0,144183.0,171582.0
"Greenville-Anderson, SC",3674.0,2374.0,5149.0,4214.0,9363.0,28584.0,17228.0,45812.0,56109.0,14071.0,70180.0,127729.0,816297.0,947700.0
"Greenwood, SC Micro Area",,,,,,,,,,,,,,
"Guayama, PR",,,,,,,,,,,,,,
"Gulfport-Biloxi, MS",2724.0,1860.0,2011.0,915.0,2926.0,12337.0,11100.0,23437.0,16970.0,11613.0,28583.0,56806.0,356493.0,416023.0
